"conc" "dose"
"1" 34 "25"
"2" 92 "50"
"3" 256 "100"
"4" 229 "200"
"5" 46 "25"
"6" 150 "50"
"7" 271 "100"
"8" 232 "200"
"9" 50 "25"
"10" 81 "50"
"11" 270 "100"
"12" 288 "200"
"13" 49 "25"
"14" 155 "50"
"15" 120 "100"
"16" 195 "200"
"17" 21 "25"
"18" 85 "50"
"19" 333 "100"
"20" 354 "200"
"21" 52 "25"
"22" 95 "50"
"23" 198 "100"
"24" 288 "200"
"25" 30 "25"
"26" 95 "50"
"27" 109 "100"
"28" 288 "200"
"29" 29 "25"
"30" 82 "50"
"31" 140 "100"
"32" 170 "200"
"33" 27 "25"
"34" 110 "50"
"35" 147 "100"
"36" 522 "200"
"37" 51 "25"
"38" 99 "50"
"39" 196 "100"
"40" 296 "200"
